2021-08-13 01:05:02:863 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 504062934, id=102, symbol=AATC, open=6.65, high=6.67, low=6.42, close=6.54, volume=257, wap=6.5515, count=98}, HistDataBean{time='2021-07-29 00:00:00', conid= 504062934, id=93, symbol=AATC, open=7.05, high=7.37, low=6.76, close=7.0, volume=671, wap=7.051, count=196}], [HistDataBean{time='2021-07-21 00:00:00', conid= 504062934, id=87, symbol=AATC, open=6.05, high=8.44, low=6.05, close=6.52, volume=1037, wap=7.3115, count=272}, HistDataBean{time='2021-07-21 00:00:00', conid= 504062934, id=87, symbol=AATC, open=6.05, high=8.44, low=6.05, close=6.52, volume=1037, wap=7.3115, count=272}]]
2021-08-13 01:05:03:462 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-06 00:00:00', conid= 39505341, id=148, symbol=AAWW, open=71.52, high=74.18, low=71.06, close=72.87, volume=2665, wap=72.5255, count=1988}, HistDataBean{time='2021-07-19 00:00:00', conid= 39505341, id=134, symbol=AAWW, open=62.96, high=63.53, low=62.13, close=63.43, volume=1862, wap=62.9505, count=1310}], [HistDataBean{time='2021-07-13 00:00:00', conid= 39505341, id=130, symbol=AAWW, open=67.3, high=68.44, low=66.27, close=66.3, volume=1418, wap=67.203, count=969}, HistDataBean{time='2021-07-08 00:00:00', conid= 39505341, id=127, symbol=AAWW, open=65.14, high=66.58, low=63.66, close=65.68, volume=1645, wap=65.394, count=1257}]]
2021-08-13 01:05:04:021 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-04 00:00:00', conid= 53224215, id=146, symbol=AAXJ, open=89.26, high=89.75, low=89.13, close=89.32, volume=7972, wap=89.369, count=4180}, HistDataBean{time='2021-07-27 00:00:00', conid= 53224215, id=140, symbol=AAXJ, open=85.52, high=85.82, low=84.38, close=85.53, volume=39420, wap=85.032, count=8910}], [HistDataBean{time='2021-07-15 00:00:00', conid= 53224215, id=132, symbol=AAXJ, open=92.53, high=92.85, low=92.26, close=92.44, volume=3478, wap=92.539, count=2123}, HistDataBean{time='2021-07-08 00:00:00', conid= 53224215, id=127, symbol=AAXJ, open=89.97, high=90.33, low=89.75, close=90.09, volume=9814, wap=90.1165, count=3924}]]
2021-08-13 01:05:05:242 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 11962137, id=151, symbol=ABB, open=37.47, high=37.47, low=37.34, close=37.42, volume=8024, wap=37.398, count=4579}, HistDataBean{time='2021-08-02 00:00:00', conid= 11962137, id=144, symbol=ABB, open=36.53, high=36.65, low=36.39, close=36.43, volume=12466, wap=36.496, count=6140}], [HistDataBean{time='2021-08-04 00:00:00', conid= 11962137, id=146, symbol=ABB, open=37.2, high=37.48, low=37.14, close=37.16, volume=20489, wap=37.293, count=10740}, HistDataBean{time='2021-07-19 00:00:00', conid= 11962137, id=134, symbol=ABB, open=34.51, high=34.56, low=34.25, close=34.42, volume=20810, wap=34.422, count=10954}]]
2021-08-13 01:05:05:814 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 118089500, id=150, symbol=ABBV, open=114.2, high=115.03, low=112.92, close=114.82, volume=37484, wap=114.28, count=22168}, HistDataBean{time='2021-07-30 00:00:00', conid= 118089500, id=143, symbol=ABBV, open=119.0, high=119.15, low=116.12, close=116.3, volume=58637, wap=117.058, count=34508}], [HistDataBean{time='2021-07-19 00:00:00', conid= 118089500, id=134, symbol=ABBV, open=116.61, high=117.0, low=113.74, close=115.42, volume=46493, wap=114.9225, count=26081}, HistDataBean{time='2021-07-12 00:00:00', conid= 118089500, id=129, symbol=ABBV, open=116.8, high=118.35, low=116.62, close=117.63, volume=59497, wap=117.6885, count=24629}]]
2021-08-13 01:05:06:625 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 1714996, id=150, symbol=ABC, open=119.87, high=120.02, low=117.32, close=118.97, volume=5223, wap=118.6815, count=4242}, HistDataBean{time='2021-08-04 00:00:00', conid= 1714996, id=146, symbol=ABC, open=123.76, high=128.87, low=123.57, close=125.55, volume=11287, wap=126.6645, count=8408}], [HistDataBean{time='2021-07-19 00:00:00', conid= 1714996, id=134, symbol=ABC, open=112.09, high=113.31, low=111.34, close=112.6, volume=4619, wap=112.261, count=4021}, HistDataBean{time='2021-07-12 00:00:00', conid= 1714996, id=129, symbol=ABC, open=114.7, high=116.25, low=114.26, close=115.55, volume=2475, wap=115.675, count=1959}]]
2021-08-13 01:05:07:257 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-11 00:00:00', conid= 3655373, id=151, symbol=ABCB, open=50.46, high=51.44, low=49.93, close=51.31, volume=2499, wap=50.9175, count=1761}, HistDataBean{time='2021-08-03 00:00:00', conid= 3655373, id=145, symbol=ABCB, open=48.58, high=49.0, low=47.2, close=48.76, volume=1700, wap=48.5045, count=1492}], [HistDataBean{time='2021-06-25 00:00:00', conid= 3655373, id=119, symbol=ABCB, open=52.96, high=53.55, low=52.52, close=53.02, volume=1597, wap=53.137, count=1276}, HistDataBean{time='2021-07-19 00:00:00', conid= 3655373, id=134, symbol=ABCB, open=45.63, high=46.15, low=44.92, close=45.58, volume=1791, wap=45.446, count=1480}]]
2021-08-13 01:05:07:854 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 459919952, id=150, symbol=ABCL, open=16.56, high=16.58, low=15.16, close=15.59, volume=14060, wap=15.532, count=7322}, HistDataBean{time='2021-08-06 00:00:00', conid= 459919952, id=148, symbol=ABCL, open=15.84, high=15.85, low=14.77, close=14.97, volume=13793, wap=15.0435, count=7112}], [HistDataBean{time='2021-07-29 00:00:00', conid= 459919952, id=142, symbol=ABCL, open=16.2, high=16.55, low=15.39, close=15.62, volume=10211, wap=16.036, count=5209}, HistDataBean{time='2021-07-27 00:00:00', conid= 459919952, id=140, symbol=ABCL, open=15.3, high=15.45, low=14.51, close=14.85, volume=17210, wap=14.895, count=6871}]]
2021-08-13 01:05:08:435 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-10 00:00:00', conid= 451447704, id=150, symbol=ABCM, open=20.43, high=20.69, low=20.3, close=20.5, volume=434, wap=20.5095, count=250}, HistDataBean{time='2021-07-20 00:00:00', conid= 451447704, id=135, symbol=ABCM, open=17.38, high=17.54, low=17.14, close=17.38, volume=900, wap=17.35, count=531}], [HistDataBean{time='2021-06-29 00:00:00', conid= 451447704, id=121, symbol=ABCM, open=19.73, high=20.03, low=19.35, close=19.53, volume=4434, wap=19.726, count=2628}, HistDataBean{time='2021-06-11 00:00:00', conid= 451447704, id=109, symbol=ABCM, open=18.57, high=18.86, low=18.29, close=18.47, volume=2095, wap=18.5845, count=981}]]
2021-08-13 01:05:09:006 [Thread-1] ERROR com.huanhe_tech.siever.Main - [[HistDataBean{time='2021-08-09 00:00:00', conid= 197341060, id=149, symbol=ABEO, open=1.27, high=1.33, low=1.2431, close=1.28, volume=6238, wap=1.30202, count=1173}, HistDataBean{time='2021-08-02 00:00:00', conid= 197341060, id=144, symbol=ABEO, open=1.18, high=1.3, low=1.15, close=1.29, volume=11051, wap=1.240815, count=1951}], [HistDataBean{time='2021-07-26 00:00:00', conid= 197341060, id=139, symbol=ABEO, open=1.3957, high=1.54, low=1.21, close=1.32, volume=60566, wap=1.3534, count=10674}, HistDataBean{time='2021-07-19 00:00:00', conid= 197341060, id=134, symbol=ABEO, open=1.28, high=1.29, low=1.16, close=1.23, volume=20352, wap=1.213235, count=3149}]]
